duration,protocol_type,src_port,dst_port,pkt_count,byte_count,avg_pkt_size,flow_iat_mean,flow_iat_std,fwd_pkt_count,bwd_pkt_count,fwd_byte_count,bwd_byte_count,syn_flag,ack_flag,rst_flag,fin_flag,psh_flag,urg_flag,login_attempts,label
25.8653,1,21319,223,23,8602,374.0,0.143242,0.167585,12,11,5161,3441,0,1,0,0,0,0,1,BENIGN
0.6249,6,39417,703,55,21010,382.0,0.334377,0.259466,24,31,12606,8404,1,1,0,1,1,0,0,Malware-C2
135.3121,1,4677,295,20886,1378476,66.0,0.075657,0.268234,14090,6796,827085,551391,1,0,0,0,0,1,0,DDoS
36.722,6,16050,84,126,14238,113.0,0.322603,0.225103,81,45,8542,5696,1,1,0,1,0,0,0,DNS-Tunneling
22.2751,1,2730,779,90,44010,489.0,0.224712,0.116816,57,33,26406,17604,0,1,0,0,1,0,1,BENIGN
1.1819,17,5170,452,19,17499,921.0,0.018587,0.217353,12,7,10499,7000,0,1,0,0,1,0,0,SQL-Injection
27.4557,17,10723,223,2028,101400,50.0,0.202938,0.184088,996,1032,60840,40560,1,0,1,0,0,0,0,PortScan
76.0822,6,41914,24,9321,72163182,7742.0,0.360061,0.258505,6215,3106,43297909,28865273,1,1,0,1,1,0,0,DataExfiltration
9.9873,1,57299,387,70,31710,453.0,0.055121,0.274311,28,42,19026,12684,0,1,0,0,0,0,0,BENIGN
14.3247,6,44505,769,59,5841,99.0,0.237263,0.02606,27,32,3504,2337,0,0,0,0,1,0,0,BENIGN
16.3066,1,42239,797,87,25317,291.0,0.483435,0.086657,35,52,15190,10127,1,1,0,1,1,0,0,BENIGN
1.2607,1,24021,974,62,9858,159.0,0.24337,0.152513,40,22,5914,3944,1,0,0,0,0,0,0,Malware-C2
59.5915,17,2092,922,26407,1822083,69.0,0.130127,0.088407,14621,11786,1093249,728834,1,0,0,0,1,1,0,DDoS
9.503,1,32179,962,422,48952,116.0,0.36536,0.172891,242,180,29371,19581,0,1,0,1,0,0,106,SSH-Bruteforce
22.1808,17,27109,573,17,5117,301.0,0.155425,0.16844,8,9,3070,2047,1,1,0,1,1,0,1,BENIGN
25.51,17,31402,927,97,36084,372.0,0.277521,0.287637,62,35,21650,14434,1,1,0,0,1,0,1,BENIGN
2.2235,1,2346,667,8,4056,507.0,0.18594,0.259327,3,5,2433,1623,0,1,1,1,0,0,7,PrivilegeEscalation
48.7994,1,11782,36,121,9438,78.0,0.326748,0.238188,50,71,5662,3776,1,1,1,0,0,0,263,SSH-Bruteforce
8.414,1,49806,981,70,21490,307.0,0.131936,0.221796,47,23,12894,8596,1,1,0,1,1,0,1,BENIGN
8.6078,17,17430,995,29,10527,363.0,0.484562,0.271632,12,17,6316,4211,1,0,0,0,0,0,5,GeoAnomaly
